latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
29.99443,55.85429,344.13,0.42,0.61,2026-08-24,0845,N,low,2.0NRT,315.95,6.83,D
32.88841,71.6194,332.27,0.52,0.41,2026-08-24,0845,N,low,2.0NRT,305.94,3.56,D
37.3881,59.94894,345.16,0.53,0.42,2026-08-24,0848,N,low,2.0NRT,317.62,6.8,D
37.36727,59.60572,349.27,0.55,0.43,2026-08-24,0848,N,nominal,2.0NRT,316.6,8,D
37.37111,59.60447,341.35,0.55,0.43,2026-08-24,0848,N,low,2.0NRT,316.23,6.63,D
37.37033,59.60391,344.66,0.55,0.43,2026-08-24,0848,N,low,2.0NRT,316.55,10.71,D
37.80396,59.00258,342.37,0.38,0.43,2026-08-24,0848,N,nominal,2.0NRT,311.96,3.53,D
37.41657,55.47487,341.62,0.59,0.53,2026-08-24,0848,N,nominal,2.0NRT,306.37,3.95,D
37.41496,55.4682,333.02,0.59,0.53,2026-08-24,0848,N,low,2.0NRT,307.35,3.95,D
39.60622,67.00024,345.17,0.41,0.37,2026-08-24,0848,N,nominal,2.0NRT,310.75,5.34,D
38.18726,58.3899,345.19,0.4,0.44,2026-08-24,0848,N,low,2.0NRT,319.75,6.68,D
38.1416,57.97116,345.68,0.42,0.45,2026-08-24,0848,N,nominal,2.0NRT,314.11,3.38,D
38.33117,57.60784,347.22,0.44,0.46,2026-08-24,0848,N,nominal,2.0NRT,314.78,5.26,D
38.44315,57.41047,345.1,0.44,0.46,2026-08-24,0848,N,low,2.0NRT,318.63,8.55,D
38.44098,57.40964,343.89,0.44,0.46,2026-08-24,0848,N,low,2.0NRT,317.7,7.61,D
39.82202,64.4044,338.48,0.38,0.36,2026-08-24,0848,N,low,2.0NRT,310.04,4.53,D
38.7725,56.81887,341.51,0.47,0.47,2026-08-24,0848,N,low,2.0NRT,316.29,6.69,D
38.6496,54.28314,348.49,0.63,0.54,2026-08-24,0848,N,nominal,2.0NRT,319.06,4.67,D
38.67955,54.31754,345.05,0.63,0.54,2026-08-24,0848,N,low,2.0NRT,318.85,4.72,D
39.44816,54.39053,345.47,0.59,0.53,2026-08-24,0850,N,low,2.0NRT,318.71,15.31,D
20.37311,55.93792,341.49,0.47,0.64,2026-08-24,1024,N,nominal,2.0NRT,303.75,1.01,D
20.376,55.93422,344.64,0.47,0.64,2026-08-24,1024,N,nominal,2.0NRT,303.9,0.91,D
21.00192,56.53287,337.96,0.52,0.67,2026-08-24,1024,N,nominal,2.0NRT,305.69,1.09,D
21.936,57.07309,342.28,0.57,0.69,2026-08-24,1024,N,nominal,2.0NRT,303.74,1.68,D
21.93641,57.07344,343.99,0.57,0.69,2026-08-24,1024,N,nominal,2.0NRT,303.74,2.09,D
22.29021,56.52755,343.2,0.53,0.67,2026-08-24,1024,N,nominal,2.0NRT,306.14,2.05,D
22.32536,56.49326,340.65,0.53,0.67,2026-08-24,1024,N,nominal,2.0NRT,304.68,1.15,D
22.32881,56.48983,338.84,0.53,0.67,2026-08-24,1024,N,nominal,2.0NRT,305.14,1.35,D
22.6131,54.0602,344.64,0.37,0.58,2026-08-24,1024,N,nominal,2.0NRT,309.39,1.76,D
22.60889,54.06139,348.2,0.37,0.58,2026-08-24,1024,N,nominal,2.0NRT,309.92,14.97,D
23.04639,56.05733,341.46,0.51,0.66,2026-08-24,1024,N,nominal,2.0NRT,306.13,17.64,D
23.27656,54.25733,348.53,0.39,0.59,2026-08-24,1026,N,nominal,2.0NRT,309.2,6.44,D
23.27693,54.26123,357.63,0.39,0.59,2026-08-24,1026,N,low,2.0NRT,310.14,13.51,D
24.50948,54.01922,350.31,0.39,0.59,2026-08-24,1026,N,nominal,2.0NRT,300.9,5.41,D
24.50859,54.02049,350.53,0.39,0.59,2026-08-24,1026,N,nominal,2.0NRT,300.69,4.75,D
27.16719,56.05647,356.42,0.56,0.68,2026-08-24,1026,N,nominal,2.0NRT,313.78,25.87,D
27.1681,56.05915,355.5,0.56,0.69,2026-08-24,1026,N,nominal,2.0NRT,313.34,20.99,D
27.16775,56.05326,349.83,0.56,0.68,2026-08-24,1026,N,nominal,2.0NRT,314.09,19.83,D
29.99302,55.85658,342.11,0.58,0.69,2026-08-24,1026,N,nominal,2.0NRT,315.87,7.52,D
29.99311,55.8543,347.43,0.58,0.69,2026-08-24,1026,N,nominal,2.0NRT,315.92,6.71,D
18.01323,54.57765,336.83,0.36,0.57,2026-08-24,1024,N,low,2.0NRT,309.43,16.52,D
18.01285,54.57423,356.73,0.36,0.57,2026-08-24,1024,N,low,2.0NRT,318.63,21.13,D
18.32163,55.10718,349.09,0.39,0.59,2026-08-24,1024,N,nominal,2.0NRT,311.2,2.67,D
38.67929,54.31577,342.68,0.54,0.68,2026-08-24,1030,N,nominal,2.0NRT,312.1,3.67,D
23.55243,87.23839,302.43,0.57,0.52,2026-08-24,1930,N,nominal,2.0NRT,275.19,2.3,N
22.86855,86.05769,301.01,0.33,0.56,2026-08-24,1930,N,nominal,2.0NRT,286.9,0.98,N
22.58832,85.90031,303.06,0.34,0.56,2026-08-24,1930,N,nominal,2.0NRT,286.7,1.24,N
22.58314,85.89967,302.78,0.34,0.56,2026-08-24,1930,N,nominal,2.0NRT,286.6,1.24,N
22.58779,85.89744,301.86,0.34,0.56,2026-08-24,1930,N,nominal,2.0NRT,286.83,1.66,N
22.56736,85.89178,306.82,0.34,0.56,2026-08-24,1930,N,nominal,2.0NRT,286.55,1.65,N
22.37227,87.27415,325.21,0.55,0.51,2026-08-24,1930,N,nominal,2.0NRT,288.95,5.77,N
22.3605,87.29447,314.52,0.55,0.51,2026-08-24,1930,N,nominal,2.0NRT,288.5,3.51,N
22.36139,87.01068,308.79,0.57,0.52,2026-08-24,1930,N,nominal,2.0NRT,289.02,3.56,N
22.36172,87.01392,310.09,0.57,0.52,2026-08-24,1930,N,nominal,2.0NRT,288.97,2.67,N
7.64049,80.96828,304.64,0.46,0.64,2026-08-24,1934,N,nominal,2.0NRT,289.47,0.87,N
7.2735,81.28102,304.67,0.44,0.62,2026-08-24,1936,N,nominal,2.0NRT,289.37,0.82,N
39.44851,83.01,296.55,0.7,0.75,2026-08-24,1925,N,nominal,2.0NRT,285.7,0.77,N
36.89309,101.75039,298.82,0.42,0.38,2026-08-24,1925,N,nominal,2.0NRT,286.83,0.69,N
29.08693,88.00976,296.87,0.6,0.53,2026-08-24,1928,N,nominal,2.0NRT,278.34,1.73,N
26.57931,101.70228,306.07,0.39,0.44,2026-08-24,1928,N,nominal,2.0NRT,290.12,1.66,N
26.57829,101.66573,340.01,0.39,0.44,2026-08-24,1928,N,nominal,2.0NRT,292.88,7.54,N
26.56108,101.68966,301.86,0.39,0.44,2026-08-24,1928,N,nominal,2.0NRT,288.39,1.44,N
27.37654,95.08727,307.83,0.39,0.37,2026-08-24,1930,N,nominal,2.0NRT,286.2,1.51,N
25.06646,101.57083,303.23,0.4,0.45,2026-08-24,1930,N,nominal,2.0NRT,288.66,0.95,N
23.10639,70.1897,306.28,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,295.39,0.54,N
23.05546,69.99567,308.71,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,294.75,0.63,N
24.50637,56.61074,317.97,0.63,0.72,2026-08-24,2112,N,nominal,2.0NRT,298.93,3.82,N
24.47241,56.61421,324.02,0.63,0.72,2026-08-24,2112,N,nominal,2.0NRT,299.37,3.4,N
22.92933,70.10716,313.68,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,294.86,1.04,N
24.47645,56.61616,310.06,0.63,0.72,2026-08-24,2112,N,nominal,2.0NRT,299.04,1.59,N
22.93641,69.69853,325.35,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,295.02,2.55,N
22.93583,69.70226,321.57,0.38,0.36,2026-08-24,2112,N,nominal,2.0NRT,295.22,3.69,N
